OBJECTID,COUNTYNBR,NAME,TotalGPCD,TotPotGPCD,ResPotGPCD,ComPotGPCD,InsPotGPCD,IndPotGPCD,TotSecGPCD,ResSecGPCD,ComSecGPCD,InsSecGPCD,IndSecGPCD,TotalUse,TotPotaUse,ResPotaUse,ComPotaUse,InsPotaUse,IndPotaUse,TotSecoUse,ResSecoUse,ComSecoUse,InsSecoUse,IndSecoUse,TotPotaSup,PotaWelSup,PotaSprSup,PotaSurSup,Year,Region,SHAPE_Length,SHAPE_Area
11,02,BOX ELDER,318,241,181,19,6,35,77,54,1,23,0,18380,13941.2,10471.5,1098.7,333.5,2037.4,4438.8,3097.1,29.3,1306.5,0,68203.5,17776.2,19446.7,30980.6,2016,Bear River,569389.513268329,17428638722.2467
12,03,CACHE,269,194,136,30,10,18,75,54,0,20,0,36182.2,26109.1,18363.1,3977.9,1326.5,2441.6,10073.2,7284.5,61.8,2726.9,0,71704.6,42645.8,26010.2,3048.6,2016,Bear River,289984.990756091,3035321841.165
13,24,UINTAH,252,209,157,22,26,4,42,42,0,0,0,7837.7,6521.2,4884.9,698.4,813.5,124.3,1316.5,1316.5,0,0,0,22845,163.8,6505.7,16175.5,2016,Green River,540619.05537524,11661945608.3434
14,10,GRAND,475,263,151,108,2,2,213,62,0,151,0,4948.1,2734.7,1567.9,1124.9,19.8,22,2213.5,646.3,0,1567.2,0,5702.6,3462.7,2239.9,0,2016,Upper Colorado River,516092.900574089,9539294361.1257
15,27,WASHINGTON,313,222,177,28,15,2,91,27,7,57,0,58436.8,41455.6,32989.9,5258.7,2820.6,386.5,16981.2,5017.2,1355.6,10608.4,0,61489.9,25946.5,8123.4,27420,2016,Lower Colorado River South,347253.908504494,6297924696.18146
16,14,MILLARD,565,361,243,40,59,19,204,194,1,9,0,6224.3,3973.6,2678.5,435.2,651.8,208.1,2250.7,2139.5,15.8,95.4,0,12178.7,8644.4,3534.3,0,2016,Sevier River,576258.301270673,17708674893.0571
17,26,WASATCH,293,134,113,16,4,1,159,159,0,0,0,9609.5,4394.9,3698.5,535.5,137.7,23.3,5214.6,5214.6,0,0,0,20200.9,4358.7,3871.8,11970.4,2016,Provo River,332287.394694139,3129885249.16035
18,12,JUAB,308,187,138,23,11,15,121,98,0,23,0,3549.7,2159.1,1590.2,265.9,130.2,172.8,1390.6,1125.3,0,265.3,0,8044.4,3863.8,4180.6,0,2016,Provo River,626586.775978781,8819926149.5783
19,25,UTAH,222,129,90,28,8,4,93,72,4,17,0,150959.2,87654.5,60958.9,18833.1,5228.2,2634.3,63304.7,48953.9,2499.8,11824,27,232444,145138.2,50274.9,37031,2016,Provo River,481312.758926752,5544870628.17175
20,07,DUCHESNE,341,234,113,44,5,72,108,76,0,31,0,6793.5,4652.7,2248.8,866.7,97.7,1439.5,2140.7,1515.6,0,617.2,0,25041.4,4066.7,724.9,20249.8,2016,Green River,394351.618101421,8412584875.52486
21,05,DAGGETT,852,704,541,126,34,2,148,66,10,72,0,852.1,703.8,541.6,126.1,34.3,1.8,148.3,65.6,10.3,72.4,0,1486.1,728.8,39.3,718,2016,Green River,271451.015492212,1861953448.7946
22,16,PIUTE,559,464,437,8,2,17,95,91,0,4,0,817.6,678.2,639,11.8,2.5,24.9,139.4,133.6,0,5.9,0,1402.6,368.9,1033.7,0,2016,Sevier River,226048.547169115,1982962415.4672
23,06,DAVIS,252,101,74,17,7,3,150,129,1,21,0,106581,42889.7,31282.5,7221.9,3029.6,1355.7,63691.4,54465.1,285.9,8940.3,0,58577.6,27763.9,200.4,30613.3,2016,Weber River,210430.443646764,1644067011.94839
24,15,MORGAN,243,110,93,8,4,5,133,110,1,22,0,2632.8,1189.7,1009.4,82.8,43.9,53.5,1443.1,1193.3,8.3,241.5,0,5543.5,1771,772.5,3000,2016,Weber River,272456.12399887,1581062747.69435
25,28,WAYNE,574,251,181,42,10,18,323,229,0,94,0,1627.3,712,512,118.6,29.7,51.7,915.4,649.5,0,265.8,0,2073,705.8,1367.2,0,2016,Sevier River,447343.096194556,6384191354.61515
26,08,EMERY,576,143,118,14,6,4,433,342,29,63,0,6897.9,1708,1412.5,165.2,77.2,53.1,5189.8,4093.8,344.1,751.9,0,7712.7,0,2818.9,4893.8,2016,Upper Colorado River,614872.118681648,11574191378.1979
27,21,SEVIER,630,214,144,29,26,14,417,330,0,87,0,13294.3,4504.5,3037.2,619.4,553.8,294.2,8789.8,6956.4,0,1833.4,0,9549.1,4912.9,4636.2,0,2016,Sevier River,337181.896940921,4964991763.3953
28,04,CARBON,273,174,103,31,33,6,99,63,0,37,0,6386.1,4065.8,2415.8,735.3,782.6,132.2,2320.3,1462.4,0,857.8,0,15471,499,4269.9,10702.1,2016,Upper Colorado River,333190.055509907,3844121593.92755
29,18,SALT LAKE,209,182,119,36,21,5,27,21,0,6,0,274801,238831.6,156861,47741.9,28282.5,5946.2,35969.4,28118,547.2,7304.2,0,290122.7,98112.1,7654,184356.6,2016,Salt Lake,232726.974501102,2085425238.537
