OBJECTID,COUNTYNBR,NAME,TotalGPCD,TotPotGPCD,ResPotGPCD,ComPotGPCD,InsPotGPCD,IndPotGPCD,TotSecGPCD,ResSecGPCD,ComSecGPCD,InsSecGPCD,IndSecGPCD,TotalUse,TotPotaUse,ResPotaUse,ComPotaUse,InsPotaUse,IndPotaUse,TotSecoUse,ResSecoUse,ComSecoUse,InsSecoUse,IndSecoUse,TotPotaSup,PotaWelSup,PotaSprSup,PotaSurSup,Year,Region,SHAPE_Length,SHAPE_Area
1,20,SANPETE,358,139,101,13,23,2,219,187,0,32,0,10473.8,4070.4,2949.2,378.7,681.5,61,6403.3,5464.2,0,939.1,0,15400.4,4663.7,10736.7,0,2016,Sevier River,317646.921217513,4146734071.41335
2,11,IRON,238,190,138,33,16,3,49,40,0,9,0,12433.4,9890.2,7177.5,1724.8,840.7,147.2,2543.2,2063.7,0,479.5,0,19528.4,17150.9,2377.4,0,2016,Lower Colorado River North,433987.568003763,8550446964.4807
3,13,KANE,473,317,172,61,64,20,156,153,0,3,0,5963.2,3993.8,2169.7,768.4,801.6,254.1,1969.4,1925.7,0,43.7,0,7648.6,7100.9,547.4,0,2016,Lower Colorado River South,559368.836482366,10631564021.2038
4,29,WEBER,263,109,65,29,3,13,154,136,4,14,0,75497.9,31330.2,18541.4,8386.1,785.2,3617.5,44167.8,38899.1,1128.9,4139.8,0,93033.2,48679,4260.1,40094.2,2016,Weber River,273454.424452544,1707999617.57821
5,19,SAN JUAN,292,148,108,20,19,1,144,88,0,57,0,2058.2,1042.9,763.2,139.5,135.9,4.3,1015.3,616.4,0,398.9,0,4807.9,753.7,0,4054.2,2016,Upper Colorado River,843994.587461074,20538417618.0589
6,09,GARFIELD,404,229,127,66,29,7,175,166,0,9,0,2744.4,1553.6,865.1,446.8,195.4,46.3,1190.8,1126.9,0,63.9,0,4735.9,1793.9,2942,0,2016,Lower Colorado River North,628903.27131737,13481860260.6854
7,17,RICH,835,697,473,201,23,0,138,39,99,0,0,1960.4,1635.5,1110,471,54.5,0,325,92.4,232.6,0,0,2791.5,1059.2,1725.5,6.8,2016,Bear River,299646.714746513,2811302706.6674
8,22,SUMMIT,333,242,159,61,10,12,90,26,0,65,0,14271.1,10397,6804.7,2627.8,429.3,535.3,3874,1098.4,0,2775.6,0,37859.7,19183,3782.7,14893.9,2016,Weber River,477619.148740188,4870028430.57396
9,23,TOOELE,200,153,117,19,10,8,47,40,0,7,0,14626.2,11200.2,8585.4,1359.1,698,557.7,3426,2898.5,0,527.4,0,27145.8,22202.1,4927.9,15.8,2016,Salt Lake,574753.079985765,18871961111.7461
10,01,BEAVER,714,240,143,66,4,28,473,371,0,102,0,4508.5,1518.9,902.5,414.8,24.6,176.9,2989.7,2344.5,0,645.2,0,4621.8,3572.3,1049.5,0,2016,Lower Colorado River North,392925.180744149,6696284552.44768
