OBJECTID,COUNTYNBR,NAME,TotalGPCD,TotPotGPCD,ResPotGPCD,ComPotGPCD,InsPotGPCD,IndPotGPCD,TotSecGPCD,ResSecGPCD,ComSecGPCD,InsSecGPCD,IndSecGPCD,TotalUse,TotPotaUse,ResPotaUse,ComPotaUse,InsPotaUse,IndPotaUse,TotSecoUse,ResSecoUse,ComSecoUse,InsSecoUse,IndSecoUse,TotPotaSup,PotaWelSup,PotaSprSup,PotaSurSup,Year,Region,SHAPE_Length,SHAPE_Area
1,20,SANPETE,354,141,102,13,24,2,213,183,0,30,0,10295.37,4099.55,2954.09,372.85,706.09,66.52,6195.82,5309.38,0,886.43,0,15400.4,4663.69,10736.71,0,2017,Sevier River,317646.921217513,4146734071.41335
2,11,IRON,232,197,145,32,18,3,34,25,0,9,0,12625.52,10756.55,7872.34,1740.3,979.96,163.95,1868.96,1367.69,0,501.27,0,19528.37,17150.94,2377.43,0,2017,Lower Colorado River North,433987.568003763,8550446964.4807
3,13,KANE,279,210,147,23,37,3,68,51,0,5,0,3450.32,2606.52,1824.83,285.01,460.43,36.25,843.8,627.44,0,64.19,0,7648.58,7100.87,547.41,0,2017,Lower Colorado River South,559368.836482366,10631564021.2038
4,29,WEBER,262,109,69,27,6,7,154,135,4,15,0,74800.51,31003.1,19713.85,7805.37,1588.28,1895.59,43797.41,38572.34,1060.06,4165,0,93033.22,48679,4260.07,40094.15,2017,Weber River,273454.424452544,1707999617.57821
5,19,SAN JUAN,271,130,95,17,18,1,141,85,0,55,0,2039.98,977.55,715.35,125.34,132.78,4.08,1062.43,640.15,0,417.68,0,4807.9,753.7,0,4054.2,2017,Upper Colorado River,843994.587461074,20538417618.0589
6,09,GARFIELD,698,318,173,93,38,13,380,234,0,14,0,3453.56,1571.76,857.58,458.97,190.25,64.96,1881.8,1156.96,0,67.27,0,4735.87,1793.91,2941.96,0,2017,Lower Colorado River North,628903.27131737,13481860260.6854
7,17,RICH,710,607,410,168,29,0,103,30,73,0,0,1918.44,1639.02,1107.29,452.85,78.88,0,279.42,81.35,198.07,0,0,2791.47,1059.15,1725.52,6.8,2017,Bear River,299646.714746513,2811302706.6674
8,22,SUMMIT,302,237,155,57,14,11,65,15,0,50,0,13470.76,10561.25,6891.86,2551.99,611.25,506.15,2909.51,670.31,0,2239.21,0,37859.68,19183.02,3782.72,14893.94,2017,Weber River,477619.148740188,4870028430.57396
9,23,TOOELE,219,172,131,21,11,8,48,40,0,7,0,15150.16,11856.84,9058,1464.76,755.22,578.86,3293.32,2797.72,0,495.6,0,27145.75,22202.08,4927.9,15.77,2017,Salt Lake,574753.079985765,18871961111.7461
10,01,BEAVER,782,249,160,54,4,30,534,420,0,113,0,4968.76,1579.23,1016.39,345.55,27.93,189.36,3389.54,2670.68,0,718.86,0,4621.81,3572.28,1049.53,0,2017,Lower Colorado River North,392925.180744149,6696284552.44768
