OBJECTID,COUNTYNBR,NAME,TotalGPCD,TotPotGPCD,ResPotGPCD,ComPotGPCD,InsPotGPCD,IndPotGPCD,TotSecGPCD,ResSecGPCD,ComSecGPCD,InsSecGPCD,IndSecGPCD,TotalUse,TotPotaUse,ResPotaUse,ComPotaUse,InsPotaUse,IndPotaUse,TotSecoUse,ResSecoUse,ComSecoUse,InsSecoUse,IndSecoUse,TotPotaSup,PotaWelSup,PotaSprSup,PotaSurSup,Year,Region,SHAPE_Length,SHAPE_Area
11,02,BOX ELDER,385,298,176,32,50,39,87,61,1,26,0,22740.36,17601.82,10423.01,1919.22,2938.52,2321.08,5138.53,3577.78,32.11,1521.07,0,68203.5,17776.23,19446.67,30980.6,2017,Bear River,569389.513268329,17428638722.2467
12,03,CACHE,259,184,124,29,9,21,75,54,0,20,0,34912.25,24817.94,16771.19,3946.32,1257.78,2842.65,10094.31,7303.06,62.18,2729.07,0,71704.59,42645.81,26010.18,3048.6,2017,Bear River,289984.990756091,3035321841.165
13,24,UINTAH,241,197,143,24,28,2,43,43,0,0,0,8457.74,6939.13,5038.4,833.05,988.82,78.86,1518.61,1518.61,0,0,0,22845.03,163.83,6505.66,16175.5,2017,Green River,540619.05537524,11661945608.3434
14,10,GRAND,355,268,151,88,28,2,87,20,0,49,0,3833.07,2896,1626.24,947.77,297.01,24.98,937.07,211.97,0,532.01,0,5702.62,3462.73,2239.89,0,2017,Upper Colorado River,516092.900574089,9539294361.1257
15,27,WASHINGTON,307,226,177,30,16,3,81,26,6,49,0,58543.33,43168.83,33824.87,5635.35,3097.06,611.55,15374.5,4912.78,1085.99,9375.73,0,61489.85,25946.49,8123.35,27420.01,2017,Lower Colorado River South,347253.908504494,6297924696.18146
16,14,MILLARD,518,345,206,48,70,22,172,163,1,8,0,6037.77,4027.58,2406.88,555.87,811.11,253.72,2010.19,1906.11,14.24,89.84,0,12178.71,8644.44,3534.27,0,2017,Sevier River,576258.301270673,17708674893.0571
17,26,WASATCH,258,135,107,21,6,1,123,123,0,0,0,9617.87,5026.62,4000.96,794.61,207.03,24.01,4591.25,4591.25,0,0,0,20200.85,4358.67,3871.78,11970.4,2017,Provo River,332287.394694139,3129885249.16035
18,12,JUAB,300,198,144,21,18,15,102,82,0,20,0,3483.8,2295.78,1669.49,245.23,207.36,173.7,1188.02,953.42,0,234.6,0,8044.37,3863.81,4180.56,0,2017,Provo River,626586.775978781,8819926149.5783
19,25,UTAH,225,131,88,24,14,4,94,73,4,17,0,158841.32,92295.25,62287.47,16852.33,10186.11,2969.35,66546.07,51444.7,2704.66,12367.75,28.95,232444.02,145138.15,50274.87,37031,2017,Provo River,481312.758926752,5544870628.17175
20,07,DUCHESNE,368,255,120,36,12,87,113,77,0,35,0,7609.66,5276.48,2478.1,742.47,251.29,1804.62,2333.18,1590.89,0,733.51,0,25041.36,4066.67,724.89,20249.8,2017,Green River,394351.618101421,8412584875.52486
21,05,DAGGETT,911,784,600,142,38,3,128,58,5,65,0,816.68,702.39,537.53,127.43,34.39,3.04,114.29,51.69,4.19,58.41,0,1486.11,728.77,39.34,718,2017,Green River,271451.015492212,1861953448.7946
22,16,PIUTE,514,436,372,35,20,9,77,74,0,3,0,811.3,689.41,587.88,54.72,31.96,14.85,121.89,116.84,0,5.05,0,1402.62,368.93,1033.69,0,2017,Sevier River,226048.547169115,1982962415.4672
23,06,DAVIS,267,111,82,18,8,3,156,134,1,22,0,109448.58,45393.62,33477.26,7342.41,3195.86,1378.08,64054.96,54688.11,283.96,9082.89,0,58577.59,27763.94,200.35,30613.3,2017,Weber River,210430.443646764,1644067011.94839
24,15,MORGAN,237,114,93,11,5,5,123,102,1,20,0,2624.62,1260.05,1027.86,116.99,58.14,57.06,1364.57,1133.11,7.72,223.74,0,5543.52,1771.02,772.5,3000,2017,Weber River,272456.12399887,1581062747.69435
25,28,WAYNE,630,278,194,47,10,27,351,247,0,105,0,1568.97,693.01,484.37,116.25,24.17,68.22,875.96,614.68,0,261.28,0,2073,705.84,1367.16,0,2017,Sevier River,447343.096194556,6384191354.61515
26,08,EMERY,596,121,97,14,7,3,475,374,31,70,0,7077.22,1435.7,1149.22,167.96,82.78,35.75,5641.51,4441.89,372.81,826.81,0,7712.73,0,2818.93,4893.8,2017,Upper Colorado River,614872.118681648,11574191378.1979
27,21,SEVIER,618,216,141,32,29,13,402,327,0,74,0,13137.44,4594.39,3002.34,686.82,625.14,280.08,8543.05,6958.7,0,1584.35,0,9549.13,4912.9,4636.23,0,2017,Sevier River,337181.896940921,4964991763.3953
28,04,CARBON,300,199,137,22,33,7,102,64,0,38,0,7111.72,4700.68,3232.8,517.86,776.11,173.91,2411.04,1506.61,0,904.44,0,15470.96,499,4269.86,10702.1,2017,Upper Colorado River,333190.055509907,3844121593.92755
29,18,SALT LAKE,201,175,116,36,20,4,26,21,0,5,0,271310.54,235946.83,155825.27,47930.45,27267.44,4923.67,35363.72,27968.09,622.54,6773.08,0,290122.73,98112.11,7654.01,184356.6,2017,Salt Lake,232726.974501102,2085425238.537
